id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
26434759,Spatium1F  stylish and safe clean  Ginza / Tsukiji,198744417,一居,,Chuo Ku,35.66552,139.77354,Entire home/apt,13584,1,80,2020-03-12,3.60,5,125
26434844,Sale! Whole guesthouse 5 rooms with free breakfast,53905021,Madoca & Tom,,Itabashi Ku,35.74402,139.68876,Entire home/apt,16471,3,2,2019-11-25,0.12,6,179
26435084,"Sakura·2F, stylish and safe clean Ginza/Tsukiji",198744417,一居,,Chuo Ku,35.66497,139.77458,Entire home/apt,15937,1,65,2020-03-01,2.94,5,125
26435961,"Sakura·3F, stylish and safe clean Ginza/Tsukiji",198744417,一居,,Chuo Ku,35.6662,139.77573,Entire home/apt,15937,1,74,2020-04-03,3.34,5,125
26436023,【Legal b&b】Ikebukuro area/ Comfort House/6 Pax,198786855,Yamamoto,,Toshima Ku,35.74021,139.70688,Entire home/apt,99967,2,39,2020-03-14,1.81,1,288
26436822,HOYO東京Nishi Shinjuku#701/2min from Subway  station,198552582,Masa,,Shinjuku Ku,35.6899,139.68374,Entire home/apt,27888,2,58,2020-03-17,2.62,74,249
26437427,HOYO東京K Shinjuku#201/8min from Higashi-Nakano Sta.,198552582,Masa,,Shinjuku Ku,35.70621,139.69152,Entire home/apt,19307,2,41,2020-03-31,1.89,74,247
26437786,"Sakura·4F, New clean suites,35㎡,Tsukiji / Ginza",198744417,一居,,Chuo Ku,35.66653,139.7758,Entire home/apt,15937,1,68,2020-04-17,3.07,5,125
26438315,Sakura·5F stylish and safe clean Ginza/Tsukiji,198744417,一居,,Chuo Ku,35.6665,139.77375,Entire home/apt,15937,1,87,2020-02-17,3.98,5,0
26439120,HOYO東京K Shinjuku#401/8min from Higashi-Nakano Sta.,198552582,Masa,,Shinjuku Ku,35.70655,139.69061,Entire home/apt,19307,2,35,2020-03-15,1.58,74,248
26441469,Licensed Tokyo Rental - Suburban Shibuya,131748110,Kumina,,Setagaya Ku,35.62973,139.63585,Entire home/apt,6952,2,22,2020-03-27,1.03,25,362
26456511,Licensed Tokyo Rental -Great Location Near Shibuya,131748110,Kumina,,Setagaya Ku,35.62942,139.63444,Entire home/apt,6952,2,8,2020-04-11,0.42,25,365
26456524,[8PAX]Skytree area/4mins sta/AKB/Shinjuku/Shibuya,91630920,Tsuyoshi,,Sumida Ku,35.70092,139.81276,Entire home/apt,15017,1,74,2020-02-02,3.35,1,180
26457743,Licensed Tokyo Rental - Convenient Near Shibuya,131748110,Kumina,,Setagaya Ku,35.62928,139.63497,Entire home/apt,6952,3,24,2020-01-22,1.13,25,297
26457940,Licensed Tokyo Rental - Convenient Suburban Yoga,131748110,Kumina,,Setagaya Ku,35.62968,139.63653,Entire home/apt,6952,2,18,2020-01-25,0.83,25,290
26458327,Licensed Tokyo Rental - Modern Peaceful Yoga,131748110,Kumina,,Setagaya Ku,35.6284,139.63461,Entire home/apt,7915,2,29,2020-03-09,1.44,25,332
26458564,Licensed Tokyo Rental - Nice Calm Local Yoga,131748110,Kumina,,Setagaya Ku,35.62811,139.6351,Entire home/apt,7915,2,23,2019-12-22,1.07,25,303
26459880,licensed! 4min to sta! Direct to Shinjuku! 2 sta,183877565,UI Home Company,,Sumida Ku,35.68926,139.80106,Entire home/apt,13049,1,48,2020-01-03,2.21,31,178
26464809,Licensed Tokyo Rental - Large Balcony View Yoga,131748110,Kumina,,Setagaya Ku,35.62839,139.63507,Entire home/apt,7915,2,32,2020-04-13,1.46,25,332
26472500,bnb+TokyoTamachi Dormitory Hostel 港区,101324346,Sou,,Minato Ku,35.64223,139.74872,Shared room,3316,2,6,2019-03-24,0.28,18,194
26473946,Bocchi Hostel-男性用相部屋(Male dorm room),197227117,Atsushi,,Taito Ku,35.72835,139.79823,Hotel room,1818,1,19,2019-09-21,0.86,2,82
26475847,"Tokyo Olympic Hotel-Narita Direct,Train Shuttlecar",12014384,Niiyama,,Arakawa Ku,35.74352,139.77059,Private room,21392,2,1,2018-11-16,0.06,8,365
26476228,Licensed Tokyo Rental - Peaceful Sakurashinmachi,131748110,Kumina,,Setagaya Ku,35.63289,139.65248,Entire home/apt,8877,30,21,2020-04-03,1.02,25,210
26476259,"东京山手线民宿305,近新宿､渋谷､池袋､銀座､秋葉原､上野",161702799,Yang,,Toshima Ku,35.7367,139.73418,Private room,5899,1,2,2019-01-05,0.11,18,90
26477651,"JR Kamada 10min, 2BR,up to 9PP, HanedaAP,WiFi,49sq",63959988,K,,Ota Ku,35.5684,139.71282,Entire home/apt,13049,1,61,2020-03-25,2.81,2,141
26477930,Licensed Tokyo Rental - Convenient Sakurashinmachi,131748110,Kumina,,Setagaya Ku,35.63319,139.65119,Entire home/apt,8877,2,21,2020-04-08,0.97,25,365
26478398,5-star 112sqm HouseｰFreeParkingｰ2MIN to Skytree,199132127,Kimiko,,Sumida Ku,35.70777,139.8095,Entire home/apt,24992,2,58,2020-02-19,2.64,9,149
26478801,"Private room 1~2P@Tokyo Hikari GH,1 min from  Sta.",194366320,Isa And Yumi,,Taito Ku,35.70271,139.79109,Private room,5470,1,39,2019-11-28,1.76,10,80
26479238,Licensed Tokyo Rental - Cozy Sakurashinmachi,131748110,Kumina,,Setagaya Ku,35.63306,139.6515,Entire home/apt,8877,30,23,2020-01-05,1.04,25,351
26480560,Nishigahara 2mins Neat&Clean Private Room #101,26341212,Tombo,,Kita Ku,35.74475,139.74041,Private room,3957,1,13,2020-02-11,0.64,15,148
26480638,502 5mins walk from Oshiage near Asakusa,27289403,Sora,,Sumida Ku,35.71295,139.80997,Entire home/apt,15017,1,76,2020-02-18,3.45,9,353
26487055,Licensed Tokyo Rental - Suburban Sakurashinmachi,131748110,Kumina,,Setagaya Ku,35.63303,139.65138,Entire home/apt,8877,2,19,2020-03-28,0.90,25,356
26487538,Licensed Tokyo Rental - Quiet Sakurashinmachi,131748110,Kumina,,Setagaya Ku,35.63264,139.65174,Entire home/apt,12942,2,13,2020-03-24,0.62,25,357
26487893,Licensed Tokyo Rental - Tranquil Sakurashinmachi,131748110,Kumina,,Setagaya Ku,35.63331,139.65241,Entire home/apt,12942,2,28,2020-04-19,1.40,25,30
26497878,Licensed Tokyo Rental - Calm Sakurashinmachi,131748110,Kumina,,Setagaya Ku,35.63177,139.65148,Entire home/apt,9947,2,22,2020-04-04,1.02,25,355
26498016,Twin Room (Bunk bed type / Breakfast Included),170132782,Sakura Hotel Jimbocho,,Chiyoda Ku,35.69519,139.75582,Private room,9412,1,0,,,6,95
26498117,Licensed Tokyo Rental - Relaxing Sakurashinmachi,131748110,Kumina,,Setagaya Ku,35.63342,139.65076,Entire home/apt,12942,30,20,2019-11-22,0.92,25,333
26500988,"Private 1~3P@Tokyo Hikari GH,1 min Kuramae sta.",194366320,Isa And Yumi,,Taito Ku,35.70271,139.79109,Private room,8045,1,9,2019-12-29,0.43,10,77
26502738,"[5 mins on foot to Kinshicho Sta.] Perfect for sightseeing Tokyo/ [Free breakfast, Wi-Fi] Twin bedroom (25㎡)[A]",163224677,Sakura Sky Hotel,,Sumida Ku,35.69338,139.8145,Private room,9733,1,5,2019-10-12,0.28,4,94
26504338,Double Pod☆ SHIMOKITA HOSTEL Shimokitazawa capsule,176875741,Shimokita Hostel,,Setagaya Ku,35.65987,139.66792,Shared room,4813,2,17,2020-01-21,0.78,9,355
26505550,No Cleaning fee! 4 bed rooms near the Onsen!,174891991,Satoshi,,Shinagawa Ku,35.61862,139.71516,Hotel room,12013,1,6,2019-07-01,0.30,15,0
26510042,HOYO東京Akasaka#803/3min from Akasaka sta+WiFi,198552582,Masa,,Minato Ku,35.67545,139.73767,Entire home/apt,19307,2,54,2020-04-19,2.46,74,230
26510928,個室1-2名部屋 駅近い家､静かな環境 新宿まで19分乗換なし,199384799,Koji,,Itabashi Ku,35.7938,139.69108,Private room,5041,2,24,2019-12-06,1.14,2,0
26512810,"""for 1 person"" Cozy Private room Quiet and bright",199384799,Koji,,Itabashi Ku,35.79338,139.69071,Private room,3540,2,21,2019-11-29,0.97,2,1
26513816,LY Inn(from station 3 mins)  6bed room free wifi,44066901,Yuqian,,Kita Ku,35.76611,139.72586,Entire home/apt,29948,2,27,2020-04-03,1.24,36,118
26516321,"Tokyo, Double for 2 - 201",47520629,宏美,,Kita Ku,35.78124,139.72122,Private room,8022,1,1,2018-08-17,0.05,6,90
26521932,H97_【Reduction in Price】4min SHIBUYA/Cozy 1BR/Loft,199463250,Atsushi,,Setagaya Ku,35.64167,139.66492,Entire home/apt,14974,1,74,2020-03-06,3.37,3,181
26526974,HOYO東京Akasaka#601/3min from Akasaka sta+RoomWiFi,198552582,Masa,,Minato Ku,35.67501,139.73665,Entire home/apt,17162,2,42,2020-01-01,1.98,74,232
26527382,HOYO東京Akasaka#602/3min from Akasaka sta+RoomWiFi,198552582,Masa,,Minato Ku,35.6747,139.73739,Entire home/apt,17162,2,55,2020-03-03,2.58,74,240
26527999,HOYO東京Akasaka#301/3min from Akasaka sta+RoomWiFi,198552582,Masa,,Minato Ku,35.67506,139.73775,Entire home/apt,17162,2,33,2020-03-13,1.53,74,244
26528318,HOYO東京Akasaka#402/3min from Akasaka sta+RoomWiFi,198552582,Masa,,Minato Ku,35.67405,139.73742,Entire home/apt,17162,2,44,2020-03-22,2.10,74,0
26528675,HOYO東京Akasaka#101/3min from Akasaka sta+RoomWiFi,198552582,Masa,,Minato Ku,35.67494,139.73644,Entire home/apt,17113,2,39,2020-03-11,1.85,74,0
26533000,"Only 15 minutes to Tokyo Station, Akihabara, Asaku",95496533,RakuHaku Inn,,Katsushika Ku,35.71611,139.86009,Private room,7487,1,14,2019-10-12,0.74,3,178
26533070,Private Tatami Room,196519408,Kagaribi,,Adachi Ku,35.75464,139.79647,Hotel room,6952,1,1,2019-10-05,0.14,3,57
26535061,Female dormitory,196519408,Kagaribi,,Adachi Ku,35.75347,139.79661,Hotel room,2995,1,0,,,3,57
26535491,"Only 15 minutes to Tokyo Station, Asakusa, Skytree",95496533,RakuHaku Inn,,Katsushika Ku,35.71729,139.8606,Private room,7487,1,1,2019-01-09,0.06,3,175
26537959,"TokyoTower,Roppongi, Shinjuku,FreeWifi,Parking",199579330,Keibun,,Minato Ku,35.65826,139.74039,Entire home/apt,11017,1,51,2020-03-30,2.39,1,249
26539876,3BR /7bed /Max 9pp /75sqm /Penthous (Website hidden by Airbnb) KM1,19007134,Momo,,Toshima Ku,35.73853,139.74801,Entire home/apt,34975,2,40,2020-04-25,1.84,19,53
26541771,HOYO東京Akasaka#303/3min from Akasaka sta+RoomWiFi,198552582,Masa,,Minato Ku,35.6748,139.73803,Entire home/apt,17162,2,39,2020-04-23,1.83,74,208
26542187,HOYO東京Akasaka#304/3min from Akasaka sta+RoomWiFi,198552582,Masa,,Minato Ku,35.6746,139.73663,Entire home/apt,17162,2,46,2020-04-02,2.13,74,211
26542954,HOYO東京Akasaka#1002/3min fromAkasaka sta+RoomWiFi,198552582,Masa,,Minato Ku,35.67356,139.73611,Entire home/apt,17162,2,49,2020-04-05,2.27,74,243
26543157,HOYO東京Akasaka#202/3min from Akasaka sta+RoomWiFi,198552582,Masa,,Minato Ku,35.67525,139.73783,Entire home/apt,17162,2,47,2020-03-12,2.15,74,238
26543672,SHIBUYA のれん NOREN,159023956,Hajime,,Shibuya Ku,35.65392,139.70964,Entire home/apt,19951,1,48,2020-01-27,2.20,1,351
26546414,Single Pod☆ SHIMOKITA HOSTEL  Shibuya Shinjuku,176875741,Shimokita Hostel,,Setagaya Ku,35.659,139.66692,Shared room,3850,2,6,2019-12-31,0.27,9,361
26549003,[IBASHO]5mins from Shibuya sta/Elevator/Wi-fi 810,159032482,Ken & Masaya,,Shibuya Ku,35.65927,139.69603,Entire home/apt,15017,1,69,2020-03-04,3.34,8,228
26553837,summer house3,171068594,ﾐｶ,,Hachioji Shi,35.65447,139.32715,Private room,7487,1,7,2019-11-01,0.34,3,87
26555683,JoyHouse❤️Entire House Near Ikebukuro With License,9029805,Wen,,Itabashi Ku,35.76012,139.70241,Entire home/apt,17862,1,49,2020-03-09,2.24,2,154
26569494,ASA204 8min Shibuya|New built lofted room,21989389,Ruka,,Shibuya Ku,35.65454,139.70875,Entire home/apt,19951,2,28,2020-03-31,1.32,21,358
26573537,SHIBUYA Queen Bed Bright Room + Pkt WiFi + 3 Bikes,199824132,Moko,,Shibuya Ku,35.65488,139.69271,Entire home/apt,16518,1,62,2019-12-29,2.84,1,0
26575979,"130㎡ 2LDK Shinjuku Portable Wifi, Private entrance",199833821,Sakura,,Shinjuku Ku,35.7012,139.70464,Private room,21989,2,40,2020-01-26,1.82,1,264
26576042,5mins from JR Oji ! Triple room! Free wifi!,153460823,HopStepInn,,Kita Ku,35.75523,139.73905,Private room,9947,1,2,2019-04-06,0.10,9,102
26576082,"4BR /2Bathroom/11BED/ Direct Shinjyuku,Shibuya  HI",19007134,Momo,,Toshima Ku,35.72912,139.72377,Entire home/apt,40008,2,46,2020-03-22,2.18,19,54
26576125,HOTEL TAGAWA  C #1 (Only Adult),86865477,Tim,,Taito Ku,35.72146,139.77739,Hotel room,24348,1,1,2018-09-16,0.05,5,0
26576219,2BR /7BED/Max 8pp/ Direct  Shinjyuku  Shibuya  HI2,19007134,Momo,,Toshima Ku,35.72888,139.72355,Entire home/apt,25957,2,39,2020-03-22,1.79,19,71
26577347,"3 beds use in a shared mix dormitory, obi Hostel",141952115,Obi,,Chuo Ku,35.6931,139.78306,Hotel room,10190,1,10,2019-08-31,0.47,30,331
26577371,SKYTREE VIEW! OSHIAGE STN 3MIN! 12PPL! 4BDR 120㎡!,199839778,Plays,,Sumida Ku,35.70555,139.81513,Entire home/apt,40008,1,65,2020-02-12,2.98,3,180
26578240,#1 APT IN CENTRAL SHIBUYA!,194598524,Tom,,Shibuya Ku,35.65713,139.70369,Entire home/apt,15017,28,10,2019-01-02,0.47,11,3
26578723,SHIBUYA 2Steps- Shibuya & Shinjuku URBAN AREA,98399298,Masa,,Shibuya Ku,35.66466,139.67868,Private room,5027,3,24,2020-01-22,1.21,6,220
26579007,東京ｽﾀｼﾞｱﾑ隣､2LK(70m2)貸切､皆さんでのｵﾘﾝﾋﾟｯｸ観戦に｡ﾘﾌｫｰﾑ後の美的宿｡,199857875,さなえ,,Chofu Shi,35.66025,139.53021,Entire home/apt,31980,1,5,2020-02-25,0.84,1,82
26579010,"SHIBUYA Good For Couples 1F, 5min to Sta.",98399298,Masa,,Shibuya Ku,35.66466,139.67879,Private room,5990,2,31,2020-04-13,1.40,6,223
26580830,⑥Shin-koenji Guesthouse【Female only&Private room】,44129457,Sangwon,,Suginami Ku,35.69107,139.65179,Private room,3957,1,36,2019-10-27,1.65,10,179
26584197,Shinjuku Tokyo;3rooms;Free Pocket Wi-Fi,13051484,Bai,,Shinjuku Ku,35.70031,139.70818,Entire home/apt,5027,1,63,2020-02-19,2.89,1,125
26585600,駅へ徒歩2分!ﾀﾞﾌﾞﾙﾍﾞｯﾄﾞ4!ﾃﾞｨｽﾞﾆｰへ車で15分!お子様無料!隣にｺﾝﾋﾞﾆ&ｺｲﾝﾊﾟｰｷﾝｸﾞ有り,199889662,An,,Edogawa Ku,35.66316,139.86118,Entire home/apt,14974,1,77,2020-02-25,3.61,1,172
26585861,Sunny Corner pad In Nishi Shinjuku - Free WiFi!,199886500,Jason,,Shibuya Ku,35.68464,139.67851,Entire home/apt,15553,2,48,2020-01-27,2.18,4,266
26590033,Airport pick-up service/Ueno/private House/Wifi ,45550834,Jun,,Taito Ku,35.71403,139.79101,Entire home/apt,16089,1,51,2020-01-30,2.32,1,131
26593170,SHIBUYA (*'ω'*) For Long Stay Solo Guests,98399298,Masa,,Shibuya Ku,35.66523,139.67847,Private room,5990,2,30,2020-02-24,1.38,6,274
26594693,SHIBUYA Suitable for Long Stay Couples,98399298,Masa,,Shibuya Ku,35.66515,139.67927,Private room,5990,3,34,2020-01-06,1.54,6,365
26595308,"SHIBUYA Biggest Room in the house, 1st Floor",98399298,Masa,,Shibuya Ku,35.66555,139.67739,Private room,5990,3,36,2020-03-11,1.63,6,0
26606203,KS103: 高円寺駅徒歩7分ｼｪｱﾊｳｽの5.5畳のお部屋,199825323,Miduki,,Suginami Ku,35.70182,139.64957,Private room,5027,3,12,2020-01-01,0.55,5,6
26608852,VERY CLOSE to Ikebukuro Station 【mobile Wi-Fi】2,14906609,Jay,,Toshima Ku,35.72927,139.71384,Entire home/apt,10619,3,57,2020-03-18,2.61,8,0
26608950,大久保站+东新宿两站可用!多卧室大团体入住,198566627,顺女,,Shinjuku Ku,35.70106,139.7069,Entire home/apt,34967,2,23,2020-02-04,1.81,2,180
26609179,New-built♫Cozy quiet place viewing Tokyo Skytree,169608824,ARaTA3,,Taito Ku,35.71705,139.78814,Private room,15767,1,0,,,4,32
26609182,FREE Poket WIFI 3MIN from Station!,19548221,Paul,,Shinjuku Ku,35.69692,139.6935,Entire home/apt,9224,3,43,2020-03-31,2.00,6,0
26609202,New-built❀Cozy quiet place viewing Tokyo Skytree,169608824,ARaTA3,,Taito Ku,35.71852,139.78843,Private room,15767,1,0,,,4,32
26609209,Asakusa Cozy Japanses room viewing Tokyo Skytree,169608824,ARaTA3,,Taito Ku,35.71929,139.78683,Private room,15767,1,1,2018-10-18,0.05,4,32
26611145,Near Shinjuku&Nakano&Tokyo 6ppl stay #HM02,196271492,Takumi,,Suginami Ku,35.70842,139.61063,Entire home/apt,100005,1,21,2020-04-20,0.96,10,81
26612889,One Room Apartment with own bathroom(A3),200075258,Song Jung,,Shinjuku Ku,35.69996,139.70405,Entire home/apt,10512,3,9,2019-12-27,0.78,10,241
26614690,"New,1DK,ﾛﾌﾄ付き,庭付き,観光地根津千駄木谷中ｴﾘｱ,3人,wifi,高速ﾈｯﾄ回線",55852804,Kanju,,Bunkyo Ku,35.7264,139.7584,Entire home/apt,16044,30,2,2020-03-02,0.24,36,365
26616024,One Room Apartment with own bathroom(A3),200075258,Song Jung,,Shinjuku Ku,35.70091,139.70446,Entire home/apt,10512,3,5,2019-11-12,0.39,10,241
26621994,♪ Ikebukuro is in 4 minutes by walking♪New house,199616660,Shiqing,,Kita Ku,35.75956,139.7273,Entire home/apt,28023,1,35,2020-02-16,1.58,1,269
26636433,"bnb+Secret Base Mejiro目白駅前Hostel,池袋まで徒歩圏内の好立地!",101324346,Sou,,Toshima Ku,35.72088,139.70539,Shared room,3540,5,3,2019-05-03,0.15,18,161
26652068,"G民泊资格取得,可多人入住,宽敞舒适公寓",200349143,Danyang,,Taito Ku,35.70523,139.78112,Entire home/apt,8045,1,53,2020-01-24,2.44,20,172
26652629,A cozy space! Female Only Dormitory,150672186,ｸﾞﾘｯｽﾞ東京浅草橋 ﾎﾃﾙ&ﾎｽﾃﾙ,,Taito Ku,35.69951,139.78346,Shared room,2246,1,2,2019-09-03,0.16,12,207
26652630,A cozy space! Female-only dormitory,150672186,ｸﾞﾘｯｽﾞ東京浅草橋 ﾎﾃﾙ&ﾎｽﾃﾙ,,Taito Ku,35.69945,139.78341,Shared room,2246,1,21,2019-10-21,1.06,12,260
26652631,"A cozy space! Twin Room for Female Only with Wi-Fi (Private Shower, Toilet)",150672186,ｸﾞﾘｯｽﾞ東京浅草橋 ﾎﾃﾙ&ﾎｽﾃﾙ,,Taito Ku,35.69969,139.78189,Private room,11444,1,3,2019-02-19,0.14,12,204
26670205,NEW! 5MIN WALK to Station!  Pocket Wifi!,19548221,Paul,,Shinjuku Ku,35.69579,139.6917,Entire home/apt,9117,3,35,2020-03-29,1.61,6,0
26670557,Only 4 MIN to station! ZEN Styl& Pokt WIFI!,19548221,Paul,,Shinjuku Ku,35.69703,139.69284,Entire home/apt,10726,3,46,2020-03-31,2.11,6,0
26671990,501 near Asakusa and Sky Tree Great location!,27289403,Sora,,Sumida Ku,35.71101,139.81131,Entire home/apt,21452,1,76,2020-02-18,3.47,9,347
26673762,"Grandinn Kabukicyo, VI",200527466,Inn,,Shinjuku Ku,35.69629,139.70121,Entire home/apt,28023,3,54,2020-01-15,2.53,2,168
26675876,"Grandinn Nishi-Shinjuku, III",200527466,Inn,,Shinjuku Ku,35.69578,139.69766,Entire home/apt,15982,3,52,2020-02-15,2.66,2,173
26681306,50㎡ Cozy & Newly Renovated House near Shinjuku #1,200518670,Jun,,Suginami Ku,35.72265,139.62244,Entire home/apt,10803,1,32,2019-12-15,1.75,2,341
26683044,Calm House near Shinjuku/Shibuya #304,43751877,Masami,,Shibuya Ku,35.67928,139.67913,Entire home/apt,24026,2,70,2020-04-25,3.24,12,311
26685711,"[C1]near to Shinjuku,Shibuya,Ueno etc,self checkIn",193171483,Liyan,,Kita Ku,35.73983,139.74832,Private room,3637,1,49,2020-03-05,2.33,10,328
26686211,"[C2]near to Shinjuku,Shibuya,Ueno etc,self checkIn",193171483,Liyan,,Kita Ku,35.74032,139.74648,Private room,3637,1,51,2020-01-30,2.39,10,356
26686347,"[C3]near to Shinjuku,Shibuya,Ueno etc,24H checkIn",193171483,Liyan,,Kita Ku,35.74004,139.74683,Private room,3540,1,37,2020-03-09,1.73,10,316
26686535,"[NL]near to Shinjuku,Shibuya,Ueno etc,self checkIn",193171483,Liyan,,Kita Ku,35.73986,139.7467,Private room,3647,1,97,2020-02-29,4.50,10,320
26686660,"[NR]near to Shinjuku,Shibuya,Ueno etc,self checkIn",193171483,Liyan,,Kita Ku,35.73995,139.7481,Private room,3637,1,56,2020-03-14,2.56,10,357
26690286,Miyako House,169633751,都,,Hachioji Shi,35.66831,139.32282,Private room,5990,1,3,2020-01-13,0.23,1,91
26692640,2BR@Shibuya area·2min to Ebisu stn#Max6,200346138,幸一郎,,Shibuya Ku,35.64587,139.70789,Entire home/apt,23958,1,44,2020-02-29,2.04,1,168
26703371,K6駅近､両空港とも便利なｱﾊﾟｰﾄﾒﾝﾄ｡最大6名､2ﾍﾞｯﾄﾙｰﾑ｡,200679975,K6,,Katsushika Ku,35.7376,139.84518,Entire home/apt,20001,2,39,2019-12-14,1.81,1,351
26719650,叁)Shin Okubo 新大久保 9min / Higashi Shinjuku 東新宿 4min,168074377,子豪,,Shinjuku Ku,35.70175,139.7069,Entire home/apt,31749,4,39,2020-03-21,2.01,3,170
26721424,New Mixed Dorm! 3min walk to downtown Roppongi,181207864,The Wardrobe Hostel Roppongi,,Minato Ku,35.6658,139.73428,Shared room,5776,1,4,2020-02-07,0.33,5,280
26722638,50%off #304 新宿14min“都立家政駅前60㎡平方3LDK“2-8人家族旅行Room,200951335,Chiehyao,,Nakano Ku,35.72412,139.64311,Entire home/apt,13049,2,26,2019-11-28,1.23,8,257
26724292,Shimokitazawa/Free Wifi! New stylish interior TW76,200958979,Jin,,Setagaya Ku,35.66199,139.66551,Private room,8984,1,40,2020-03-01,3.15,2,125
26725406,TOKYO･KURAMAE Nui. HOSTEL & BAR LOUNGE mixed dorm,194071713,Nui.,,Taito Ku,35.70353,139.79288,Shared room,3003,1,4,2019-10-30,0.20,6,171
26726591,★NEW★Cozy room in Ikebukuro area/ Share room,186532439,Teppei,,Toshima Ku,35.73747,139.6962,Private room,3957,2,30,2019-12-16,1.48,24,239
26727273,★NEW★Cozy room in Ikebukuro area/ Share room,186532439,Teppei,,Toshima Ku,35.73747,139.6962,Private room,3957,2,26,2020-01-26,1.19,24,242
26727477,★NEW★Cozy room in Ikebukuro area/ Share room,186532439,Teppei,,Toshima Ku,35.73747,139.6962,Private room,3957,2,24,2020-03-12,1.12,24,237
26727792,★NEW★Cozy room in Ikebukuro area/ Share room,186532439,Teppei,,Toshima Ku,35.73747,139.6962,Private room,3957,2,43,2020-04-20,1.97,24,232
26727852,"#303 新宿線2站雙車站“都立家政駅前1min""32平方米一房二廳""新電梯大樓2-4人房""",200951335,Chiehyao,,Nakano Ku,35.7226,139.6446,Entire home/apt,8450,2,34,2020-01-25,1.56,8,0
26728112,★NEW★Cozy room in Ikebukuro area/ Share room,186532439,Teppei,,Toshima Ku,35.73747,139.6962,Private room,3957,2,30,2020-03-28,1.38,24,235
26731683,"Female Dorm 2P@Tokyo Hikari GH,1min  Kuramae sta",194366320,Isa And Yumi,,Taito Ku,35.70271,139.79109,Shared room,5149,1,0,,,10,77
26733848,Tokyo Monthly Rental - Cute Shibuya Near,131748110,Kumina,,Setagaya Ku,35.62796,139.63434,Entire home/apt,8877,30,1,2018-09-30,0.05,25,347
26751281,HOYO東京Ikebukuro#102/10min from sta,198561190,Shin,,Toshima Ku,35.73564,139.71292,Entire home/apt,9412,1,37,2020-03-02,1.76,16,0
26751984,"BNL:202 Sharedhouse 10mins Nishiogikubo,",199825323,Miduki,,Suginami Ku,35.69895,139.60571,Private room,6524,3,8,2020-03-31,0.38,5,172
26753273,#302 新宿線2站雙車站“都立家政駅前1min一房二廳“32㎡新電梯大樓2-4人房,200951335,Chiehyao,,Nakano Ku,35.72354,139.64424,Entire home/apt,8450,2,41,2020-03-06,1.92,8,244
26753572,HOYO東京Ikebukuro#206+Free PocketWiFi/10min from sta,198561190,Shin,,Toshima Ku,35.73587,139.71279,Entire home/apt,10512,2,25,2020-03-16,1.17,16,218
26754082,licensed! 6min to sta! Wi-fi! 2 bedroom! 3 toilets,183877565,UI Home Company,,Katsushika Ku,35.74619,139.82321,Entire home/apt,12514,1,31,2019-11-25,1.43,31,180
26758077,★TATAMI ROOM★ asakusa sta/freewifi/skytreeview,199317492,Jun,,Taito Ku,35.71854,139.80212,Entire home/apt,49984,1,48,2020-01-14,2.20,3,268
26758375,Near Shinjuku & Metropolitan Gov.,201217209,Akane,,Shibuya Ku,35.68627,139.67984,Entire home/apt,6972,2,29,2020-02-01,1.33,1,2
26762372,#204 新宿線2站雙車站“都立家政駅前1min一房二廳“32㎡新電梯大樓2-4人房,200951335,Chiehyao,,Nakano Ku,35.72339,139.64279,Entire home/apt,8450,2,34,2020-03-19,1.58,8,76
26763404,Everything is perfectly organized and neat room,70213380,Daisuke,,Shinagawa Ku,35.63259,139.71541,Entire home/apt,22033,1,51,2020-03-15,2.46,4,319
26767497,"一棟Asakusa 3 minutes,  Max 36PP,    8 BDRM,  6 WC",201273994,Lily,,Taito Ku,35.71625,139.7917,Entire home/apt,99967,1,10,2019-07-09,0.46,1,179
26772998,HOYO東京Ikebukuro#210/10min from sta,198561190,Shin,,Toshima Ku,35.73554,139.71225,Entire home/apt,10512,2,42,2020-04-19,1.92,16,251
26784013,HOYO東京Ikebukuro#202+Free PocketWiFi/10min from sta,198561190,Shin,,Toshima Ku,35.73627,139.71217,Entire home/apt,10512,2,32,2020-01-25,1.55,16,219
26784302,HOYO東京Ikebukuro#211/10min from sta,198561190,Shin,,Toshima Ku,35.7355,139.71397,Entire home/apt,10512,2,31,2020-04-26,1.48,16,237
26786325,Beautiful Brand New Apt. MidCentury Style 301,179911926,Ayumi,,Nakano Ku,35.70852,139.68669,Hotel room,24992,1,71,2020-04-06,3.30,10,108
26786529,Beautiful Brand New Apt. Botanical Style 201,179911926,Ayumi,,Nakano Ku,35.70852,139.68669,Hotel room,24992,1,108,2020-04-13,5.05,10,109
26787743,e-4 Near Sayama Hills Home Stay Mitsugi,171238155,敏,,Musashimurayama Shi,35.75691,139.37278,Private room,3637,2,19,2019-11-19,0.93,3,350
26793127,Newly constructed 1R Mansion!Near Ueno Asakusa !,193327805,正明,,Taito Ku,35.72825,139.79694,Entire home/apt,5027,1,71,2020-03-29,3.32,15,81
26800104,"Female dorm 1p@Tokyo Hikari GH,1 min Kuramae sta.",194366320,Isa And Yumi,,Taito Ku,35.70271,139.79109,Shared room,2360,1,13,2020-01-03,0.62,10,77
